Player Name,Team,Role,Total Kills,Total Assists,Total Damage Dealt,Total Damage Taken,Total Amount Healed,Total Games,Avg Kills,Avg Assists,Avg Damage Dealt,Avg Damage Taken,Avg Amount Healed
"Armathor","V3RTEX","Unassigned","10","45","1072983","3863634","31963","2","5.00","22.50","536492","1931817","15982"
"j0has","Lunarch","Unassigned","10","257","1418299","9949560","1004603","11","0.91","23.36","128936","904505","91328"
"OldBonk","Royal Legion","Unassigned","10","230","1723380","9755794","1018789","8","1.25","28.75","215423","1219474","127349"
"Psykiko69","Mythros","Unassigned","10","544","1467442","5964661","740758","12","0.83","45.33","122287","497055","61730"
"GachiBear","AVENGERS","Unassigned","10","220","857032","3725076","613999","5","2.00","44.00","171406","745015","122800"
"Magrevion","Orca","Unassigned","10","127","810265","2413270","339044","4","2.50","31.75","202566","603318","84761"
"bombotank31","Omen","Unassigned","10","447","1295184","4181156","539342","8","1.25","55.88","161898","522645","67418"
"Vjctor","V3RTEX","Unassigned","10","15","639362","2716493","0","1","10.00","15.00","639362","2716493","0"
"DeadlyPie","Omen","Unassigned","10","134","630492","1225112","179504","2","5.00","67.00","315246","612556","89752"
"Junketssu","Divided","Unassigned","9","165","912985","3990608","227967","5","1.80","33.00","182597","798122","45593"
"Chumo","Divided","Unassigned","9","282","651304","5853030","734495","8","1.13","35.25","81413","731629","91812"
"Shuller","Divided","Unassigned","9","195","845905","1726463","226760","3","3.00","65.00","281968","575488","75587"
"Assultic","INFISM","Unassigned","9","119","844874","3382337","258655","4","2.25","29.75","211219","845584","64664"
"Cinexas","INFISM","Unassigned","9","376","699791","1981370","5815949","6","1.50","62.67","116632","330228","969325"
"espresso","Lunarch","Unassigned","9","408","1130849","10733226","1035969","11","0.82","37.09","102804","975748","94179"
"HRevvv","Royal Legion","Unassigned","9","186","1354196","7067995","648280","7","1.29","26.57","193457","1009714","92611"
"Amazukaze","Mythros","Unassigned","9","66","1127735","560690","0","1","9.00","66.00","1127735","560690","0"
"Sasinka","Royal Legion","Unassigned","9","194","2171361","6090588","674450","7","1.29","27.71","310194","870084","96350"
"Meliade","SOVEREIGN","Unassigned","9","570","576348","2555192","4616807","8","1.13","71.25","72044","319399","577101"
"Nit","SOVEREIGN","Unassigned","9","258","777289","3747868","233853","7","1.29","36.86","111041","535410","33408"
"CrimsOnRaider","AVENGERS","Unassigned","9","168","1944053","13258445","714818","7","1.29","24.00","277722","1894064","102117"
"boozeeG","Royal Legion","Unassigned","9","17","570965","1053178","196","1","9.00","17.00","570965","1053178","196"
"W000ZY","Divided","Unassigned","8","730","729580","7745120","13611669","10","0.80","73.00","72958","774512","1361167"
"Pharmacie","JustCrits","Unassigned","8","436","781914","5012601","19040901","9","0.89","48.44","86879","556956","2115656"
"Mussau","JustCrits","Unassigned","8","175","621287","1713284","104481","5","1.60","35.00","124257","342657","20896"
"Kid","JustCrits","Unassigned","8","585","675031","2343268","5267668","7","1.14","83.57","96433","334753","752524"
"Irisveyl","JustCrits","Unassigned","8","773","511335","1042467","1546508","6","1.33","128.83","85223","173745","257751"
"Blubi","Lunarch","Unassigned","8","383","1226277","7463872","18643355","11","0.73","34.82","111480","678534","1694850"
"Canari0","Mythros","Unassigned","8","398","1028575","7738825","842163","12","0.67","33.17","85715","644902","70180"
"Asadi","AVENGERS","Unassigned","8","34","803544","1652683","0","1","8.00","34.00","803544","1652683","0"
"M0ll0T","Divided","Unassigned","8","174","689036","10321405","627122","9","0.89","19.33","76560","1146823","69680"
"rost1","Divided","Unassigned","8","318","764878","3283372","701754","9","0.89","35.33","84986","364819","77973"
"eXonegis","NIGHTSHIFT","Unassigned","8","522","304657","3035222","5687597","7","1.14","74.57","43522","433603","812514"
"AlphGrey","NIGHTSHIFT","Unassigned","8","309","1108057","1350197","100604","7","1.14","44.14","158294","192885","14372"
"Lyrist","INFISM","Unassigned","8","127","748045","1977876","111871","3","2.67","42.33","249348","659292","37290"
"Trygonair","DYNASTY","Unassigned","8","35","637023","2863441","97684","1","8.00","35.00","637023","2863441","97684"
"MostHatedFrank","Divided","Unassigned","8","358","1088462","4492948","347139","7","1.14","51.14","155495","641850","49591"
"Kralce","Divided","Unassigned","7","248","481859","2950204","345000","5","1.40","49.60","96372","590041","69000"
"ScreamForMe","Divided","Unassigned","7","323","750268","7883814","454803","10","0.70","32.30","75027","788381","45480"
"Elven","INFISM","Unassigned","7","438","579759","6680284","11472105","7","1.00","62.57","82823","954326","1638872"
"Loxos","INFISM","Unassigned","7","476","1071198","3709469","11989004","7","1.00","68.00","153028","529924","1712715"
"Altaair","INFISM","Unassigned","7","201","639095","2639662","329602","4","1.75","50.25","159774","659916","82401"
"Xazax","JustCrits","Unassigned","7","556","897782","803811","692567","7","1.00","79.43","128255","114830","98938"
"Xair","JustCrits","Unassigned","7","364","984377","1824250","131975","7","1.00","52.00","140625","260607","18854"
"Deathyz","JustCrits","Unassigned","7","502","430490","2427826","8182576","7","1.00","71.71","61499","346832","1168939"
